,timestamp,year,month,day,value
0,01/01/1990,1990,1,1,28.47
1,15/01/1990,1990,1,15,28.47
2,01/02/1990,1990,2,1,15.08
3,15/02/1990,1990,2,15,15.08
4,01/03/1990,1990,3,1,17.145
5,15/03/1990,1990,3,15,17.145
6,01/04/1990,1990,4,1,15.535
7,15/04/1990,1990,4,15,15.535
8,01/05/1990,1990,5,1,44.605
9,15/05/1990,1990,5,15,44.605
10,01/06/1990,1990,6,1,76.725
11,15/06/1990,1990,6,15,76.725
12,01/07/1990,1990,7,1,109.22
13,15/07/1990,1990,7,15,109.22
14,01/08/1990,1990,8,1,145.195
15,15/08/1990,1990,8,15,145.195
16,01/09/1990,1990,9,1,53.505
17,15/09/1990,1990,9,15,53.505
18,01/10/1990,1990,10,1,39.89
19,15/10/1990,1990,10,15,39.89
20,01/11/1990,1990,11,1,25.39
21,15/11/1990,1990,11,15,25.39
22,01/12/1990,1990,12,1,25.055
23,15/12/1990,1990,12,15,25.055
